Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales
A,11/3/2018,247,1720,609882,268329.1062,171775,5295,2034,156591
A,11/10/2018,337,4371,1016756,556982.1233,194349,5073,4781,186876
A,11/17/2018,597,3605,1552213,547177.7689,283528,4760,3978,208474
A,11/24/2018,798,1815,1709493,557083.5716,743909,4953,3169,338311
A,12/1/2018,1738,1511,1160722,688442.588,126493,5750,2574,266300
A,12/8/2018,24788,1632,558879,425805.1255,68776,5247,26253,187382
A,12/15/2018,20699,2982,462233,354046.9198,146088,4837,23170,190487
A,12/22/2018,9967,3548,405196,345259.3411,60643,5060,12683,109947
A,12/29/2018,7077,3641,428545,486211.3229,46804,5208,10368,66448
A,1/5/2019,6132,3471,391548,485385.8465,19462,6301,7952,69510
A,1/12/2019,9731,2608,375771,364144.0227,41106,7589,12014,55500
A,1/19/2019,9712,1968,404244,456347.5893,85338,9046,12311,82436
A,1/26/2019,11771,3519,386823,372105.2166,276066,11929,14949,70817
A,2/2/2019,6761,2397,463446,357294.6322,200653,10255,8855,68198
A,2/9/2019,8520,2620,367753,359403.8152,114913,9686,10207,64101
A,2/16/2019,12710,3839,299212,459177.9556,123603,9054,16079,103598
A,2/23/2019,5701,3091,318287,301736.0446,42684,8391,6999,81055
A,3/2/2019,500,2885,447543,413408.4366,22730,8887,2863,74590
A,3/9/2019,620,2187,456481,386117.044,36033,8725,2269,59796
A,3/16/2019,401,4223,484186,354992.1769,67296,11077,4330,87191
A,3/23/2019,784,5680,553451,355042.2755,79074,9375,6455,82885
A,3/30/2019,554,7524,390828,435632.5112,108523,8684,7543,67061
A,4/6/2019,3179,8439,432125,364178.8038,57047,8476,11929,79718
A,4/13/2019,4026,7447,510358,354103.6537,88100,7432,11555,55278
A,4/20/2019,6957,8715,546329,383993.2553,125562,7300,14161,75983
A,4/27/2019,8020,6160,467319,446418.0866,109421,8354,14159,90974
A,5/4/2019,11691,6807,561319,318656.5701,88528,6379,18387,80480
A,5/11/2019,13142,9093,486682,260975.9628,112100,7540,22320,77122
A,5/18/2019,15336,10755,417293,309007.4549,169856,5875,25437,65836
A,5/25/2019,15917,10120,582162,299886.93,200356,7088,26168,87411
A,6/1/2019,18772,12188,560371,262085.1934,66883,6118,30760,71105
A,6/8/2019,67920,17718,532704,243526.4863,148985,8295,84569,61429
A,6/15/2019,42475,17136,395158,262126.5373,162451,6758,58860,100718
A,6/22/2019,21638,16547,285499,315185.3518,145226,7373,38107,83203
A,6/29/2019,23628,16378,469657,324401.4442,94627,6103,39794,70026
A,7/6/2019,21595,16185,602528,303022.8465,84208,7020,37052,64059
A,7/13/2019,19294,27347,682543,191097.9041,201701,10817,46264,97488
A,7/20/2019,18559,35294,565820,402715.0983,114461,9954,53217,80835
A,7/27/2019,26139,29638,552821,255143.8953,163260,8132,54642,67987
A,8/3/2019,46219,36834,262613,200978.371,63447,7561,82412,65743
A,8/10/2019,25766,39727,321418,245340.1626,87072,9432,64607,51781
A,8/17/2019,24463,35561,393929,267965.6616,119473,10070,60390,88469
A,8/24/2019,22863,23853,467201,266248.8887,84480,7991,47112,114522
A,8/31/2019,20780,14495,342902,288880.3273,86358,8960,35503,89866
A,9/7/2019,24481,13773,539808,360323.0456,198612,6397,37396,99880
A,9/14/2019,24691,9958,341921,457786.0473,182345,7990,34895,108644
A,9/21/2019,25762,9740,340565,463792.6043,322838,7243,34733,85220
A,9/28/2019,35098,13969,579526,274265.2093,900830,8018,48855,76997
A,10/5/2019,7600,16816,608615,396416.9467,242145,6885,24765,163874
A,10/12/2019,9223,9742,547427,422359.4076,255787,6505,18260,136164
A,10/19/2019,14508,9127,501647,376703.3829,231850,7422,23393,144244
A,10/26/2019,11285,10191,928601,370228.0005,199638,6467,21006,135736
A,11/2/2019,11806,11485,962662,338882.8297,214581,6690,22609,118467
A,11/9/2019,11209,13837,2084147,544602.2248,354647,7103,24908,214919
A,11/16/2019,13201,20528,2237438,703270.8082,579792,6926,33367,217094
A,11/23/2019,8799,18109,1796295,380939.811,1140918,7574,25583,206061
A,11/30/2019,8908,15294,1911999,702137.3809,689345,6686,23127,388146
A,12/7/2019,9177,13014,915377,643742.405,694144,6474,21419,358799
A,12/14/2019,9113,13371,379714,384384.8284,632111,7236,21993,275981
A,12/21/2019,7847,12078,328445,389721.376,341376,4683,19184,186635
A,12/28/2019,7921,13014,535421,266666.3825,108958,6964,21152,130755
A,1/4/2020,26756,14773,286585,307895.8513,95349,5720,41895,129272
A,1/11/2020,9038,19361,294204,408192.603,130872,6109,28274,90981
A,1/18/2020,18550,17990,314118,387119.6323,149976,6948,35516,105848
A,1/25/2020,21626,16855,504923,320357.9338,114312,6684,37865,76253
A,2/1/2020,24140,21028,565733,997442.7847,39280,5686,45817,72475
A,2/8/2020,24187,22064,574706,365408.0809,161435,4944,45482,77613
A,2/15/2020,23008,25885,432938,288944.3322,292028,6133,47734,168172
A,2/22/2020,18726,25271,442591,415592.4279,286872,6760,43958,119598
A,2/29/2020,13873,22205,430426,300293.8358,148089,6864,35199,99357
B,1/6/2018,167,782,708,2567847.521,667172,95360,579,519479
B,1/13/2018,552,143,441,3715496.894,103319,82360,502,501041
B,1/20/2018,659,144,687,3151602.114,570292,112565,273,510120
B,1/27/2018,108,850,631,3066068.937,777349,71675,988,594620
B,2/3/2018,644,949,730,2996176.308,397171,51602,776,477962
B,2/10/2018,288,684,974,3187964.067,345807,70150,708,459629
B,2/17/2018,302,463,598,4653501.774,1077632,58421,200,725682
B,2/24/2018,156,939,7,4071753.83,416,51373,188,681781
B,3/3/2018,101,48,134,3104301.29,60767,51214,206,592972
B,3/10/2018,677,40,827,3462290.05,912150,60135,203,618537
B,3/17/2018,59,332,813,3414405.561,129782,53325,20,570268
B,3/24/2018,215,682,933,3112463.862,566913,90944,562,522359
B,3/31/2018,312,115,238,3134953.055,224500,70291,448,514827
B,4/7/2018,727,714,1125284,3074436.302,922486,65094,688,395204
B,4/14/2018,138,555,1893757,3723371.309,501985,88040,466,543409
B,4/21/2018,320,651,1913649,3023108.156,309955,112846,627,667811
B,4/28/2018,384,819,2092279,3473209.751,411757,108438,940,582643
B,5/5/2018,273,217,2322498,2930451.351,397061,79894,290,665200
B,5/12/2018,453,105,3039917,2547976.661,278934,101932,760,614420
B,5/19/2018,664,261,3124400,2779082.293,48043,90291,993,595965
B,5/26/2018,669,375,2871184,3355128.751,168771,121571,485,634101
B,6/2/2018,952,632,2272124,2452684.868,541299,101971,446,655722
B,6/9/2018,511,454,2080113,2757171.635,796597,104888,166,635059
B,6/16/2018,752,589,1950768,2482384.307,427505,110696,814,638660
B,6/23/2018,314,51,2119232,2895756.467,368141,116721,171,509332
B,6/30/2018,644,185,2375649,2727760.121,412954,113979,830,714253
B,7/7/2018,13,538,3089843,2377337.976,613344,92296,392,461785
B,7/14/2018,662,997,3601623,3399994.722,1467545,91588,145,611487
B,7/21/2018,991,729,2806291,2582639.87,1085615,87240,857,880827
B,7/28/2018,391,344,2876343,2696830.996,739123,88308,377,653011
B,8/4/2018,348,697,2767911,2101893.609,862523,83442,211,585925
B,8/11/2018,171,860,2778987,2620887.695,966378,79943,327,519537
B,8/18/2018,170,5,3991326,3034153.607,1304004,93996,226,718408
B,8/25/2018,204,935,4276996,3074457.026,2506290,101497,779,916325
B,9/1/2018,909,599,4686508,2432406.279,2171599,87374,682,791985
B,9/8/2018,806,172,4370346,2552038.559,2552403,79124,61,663538
B,9/15/2018,563,87,5028786,2481211.244,1853270,77736,342,760047
B,9/22/2018,574,47,4966793,2402492.218,2041733,61418,679,751648
B,9/29/2018,821,925,5888798,2120251.182,2009939,83852,277,915777
B,10/6/2018,744,6940,5198701,1947214.157,887037,67961,6809,937883
B,10/13/2018,707,16626,4531293,1929277.571,1027901,59790,16236,980869
B,10/20/2018,19,15255,5878924,1898493.114,1036541,57828,15801,1103975
B,10/27/2018,747,15187,5445634,2008493.661,1112626,54581,15929,996762
B,11/3/2018,110,15319,5228192,1969301.814,1701817,49709,15170,1089137
B,11/10/2018,232,39333,8566232,4088594.141,1845957,55509,39916,1683384
B,11/17/2018,189,36081,12556735,4014758.108,2570416,52308,36080,1859541
B,11/24/2018,6313,21117,14455623,4085227.767,6232118,52273,26417,3322758
B,12/1/2018,12544,13893,9718005,5049751.178,1194281,53050,25608,2363272
B,12/8/2018,127934,14056,4759744,3123674.525,727994,45462,142147,1656624
B,12/15/2018,118065,21987,4029480,2592870.806,1647626,39128,139731,1791713
B,12/22/2018,69204,20527,3441797,2530840.027,558878,44839,89308,1146554
B,12/29/2018,61107,18855,3516766,3566029.687,532831,51549,79858,654528
B,1/5/2019,43376,20075,3407128,3560586.58,228115,62676,62875,669837
B,1/12/2019,66173,19910,3164986,2668614.986,442640,69608,85897,500164
B,1/19/2019,69637,15982,3337686,3350661.422,909786,79321,84157,714912
B,1/26/2019,64284,18332,3339944,2727132.875,2549912,114238,82599,561777
B,2/2/2019,41457,16391,3878669,2622442.494,2079398,96614,57835,618388
B,2/9/2019,54647,17059,3098016,2634230.752,1254062,93306,71520,549592
B,2/16/2019,88331,27367,2600816,3365961.631,1288726,79824,115213,878908
B,2/23/2019,32298,18359,2683684,2210872.241,446618,82312,50252,672766
B,3/2/2019,629,23406,3760463,3034566.263,215189,77825,23865,600229
B,3/9/2019,953,22592,3761445,2831191.323,322268,80302,23070,517835
B,3/16/2019,699,30759,3946335,2602775.971,525780,97805,30506,675957
B,3/23/2019,446,49874,4546145,2600419.613,614584,93502,50355,621623
B,3/30/2019,70,61783,3308896,3192972.089,883122,88948,62218,524146
B,4/6/2019,25129,64628,3472944,2673952.087,456805,74042,89058,544685
B,4/13/2019,28143,60968,4200745,2594312.707,712343,69865,88905,472331
B,4/20/2019,45913,63300,4391027,2819125.584,1991810,72644,108750,579726
B,4/27/2019,59888,48963,3916949,3273840.882,732271,83282,107644,630316
B,5/4/2019,82731,52250,4795069,2333308.649,615779,62846,134936,658870
B,5/11/2019,96026,69144,4227702,1916498.82,808888,66579,164282,652238
B,5/18/2019,107689,78934,3694520,2262770.364,1227853,64049,185933,519188
B,5/25/2019,116191,73173,4942040,2199082.936,1385713,70342,189553,697640
B,6/1/2019,142286,89322,4595967,1923142.671,523291,67980,230859,631737
B,6/8/2019,518190,118035,4258513,1787702.833,1080867,71643,635057,503836
B,6/15/2019,320747,118357,3169725,1921345.414,1056987,71551,438477,718039
B,6/22/2019,161523,113616,2320686,2312106.665,1047035,68232,274255,668985
B,6/29/2019,177973,111749,3678401,2377687.198,673348,59277,289020,595480
B,7/6/2019,162477,113411,4804403,2217961.815,562995,73561,275202,497756
B,7/13/2019,149054,199223,5388471,1399749.074,1340892,102225,347736,797318
B,7/20/2019,140159,245612,4510005,2950986.422,751226,101191,386044,694224
B,7/27/2019,194255,195013,4617649,1868192.186,1080903,92308,388322,496000
B,8/3/2019,321082,243245,2300864,1469535.377,448841,78338,563991,540922
B,8/10/2019,192719,270453,2614655,1799257.827,718174,92610,462512,429047
B,8/17/2019,186111,246839,3260361,1962767.456,889711,100329,432585,638861
B,8/24/2019,180135,171390,3969561,1948370.504,636764,87438,350755,964944
B,8/31/2019,159155,105639,2944326,2115320.099,589137,75413,264425,731039
B,9/7/2019,179974,91773,4489656,2638564.028,1329886,68032,271933,824591
B,9/14/2019,178914,68433,2780542,3356823.665,1183683,74325,246655,905326
B,9/21/2019,183440,65832,2845529,3403239.241,2407679,74653,249012,625703
B,9/28/2019,252545,97645,4773201,2012937.516,6830232,80691,349495,644279
B,10/5/2019,51733,122769,5152227,2909944.867,1826614,72677,174680,1312317
B,10/12/2019,57061,75270,4680448,3099795.347,1936770,64015,131807,1005284
B,10/19/2019,93809,76819,4219286,2759347.793,1824157,77661,170942,1062528
B,10/26/2019,75001,71609,7703308,2711861.688,1422217,73449,145588,1010111
B,11/2/2019,79201,86948,7949518,2484592.359,1675863,69402,165729,855045
B,11/9/2019,81735,108591,16420655,3996158.789,2693115,67371,190421,1612138
B,11/16/2019,92116,156033,17150439,5160763.736,4287559,65316,248312,1897738
B,11/23/2019,59201,136241,13994100,2795715.036,7558435,66344,195104,1712792
B,11/30/2019,62934,100749,16001714,5153551.869,4599296,63817,162813,3561292
B,12/7/2019,62374,92268,8074788,4723940.216,4405999,63435,153916,3575430
B,12/14/2019,63230,101429,3454877,2821665.586,3994617,52322,164152,2424124
B,12/21/2019,58124,87304,2981529,2856058.356,2001672,49302,144349,1711404
B,12/28/2019,61786,100971,4548798,1952836.689,816579,69536,162755,1169089
B,1/4/2020,195738,120869,2542278,2254584.979,696406,55778,315667,1076531
B,1/11/2020,73445,147222,2574414,2994247.587,848370,69518,219527,742503
B,1/18/2020,143677,130214,2818806,2836284.845,988647,62133,273662,846319
B,1/25/2020,154641,131387,4304549,2346663.549,804768,66005,284837,618357
B,2/1/2020,183982,153772,4880566,7317730.249,280897,56815,336930,596327
B,2/8/2020,187562,164818,4924815,2679298.988,1066783,49963,351518,619802
B,2/15/2020,183691,198041,3581869,2118857.141,1884146,59426,381029,1181536
B,2/22/2020,147564,190041,3670032,3051189.135,1779732,70252,337803,968892
B,2/29/2020,118075,173100,3534401,2198397.943,680796,59464,290587,715626
C,1/6/2018,228,393,318,74238.21215,15186,4361,843,39282
C,1/13/2018,904,543,762,107819.4923,2807,3334,37,54136
C,1/20/2018,636,901,404,92002.73704,8171,4318,254,59541
C,1/27/2018,510,435,196,89058.81906,12224,3441,440,80242
C,2/3/2018,91,622,138,87120.55939,7527,2801,964,76308
C,2/10/2018,906,611,231,93089.23141,7340,3687,727,48171
C,2/17/2018,500,992,354,134961.7923,19186,3966,195,72861
C,2/24/2018,975,497,124,117760.6824,134,2603,136,80822
C,3/3/2018,716,711,907,89992.95588,2558,3170,643,120957
C,3/10/2018,19,48,672,100182.833,12646,2846,828,84285
C,3/17/2018,379,218,744,98751.53603,1948,3794,456,55393
C,3/24/2018,531,641,296,90189.03174,12949,3464,784,67983
C,3/31/2018,447,879,530,90898.94663,5487,3572,677,133632
C,4/7/2018,621,155,770,89348.93995,16788,3379,861,39520
C,4/14/2018,993,376,430,108189.4378,9852,3280,30,39494
C,4/21/2018,542,620,82,88344.52033,6638,3832,585,89292
C,4/28/2018,873,262,255,100937.4584,4184,2537,990,75097
C,5/5/2018,481,254,564,85149.76123,7493,2062,880,56136
C,5/12/2018,325,957,740,74191.00917,6090,3060,358,83637
C,5/19/2018,691,654,889,80801.62212,1192,3610,128,102751
C,5/26/2018,200,671,36,97050.38821,3092,3509,883,68179
C,6/2/2018,101,963,554,71587.12637,7819,3293,518,119482
C,6/9/2018,975,744,196,79820.56113,12747,2286,339,111781
C,6/16/2018,661,458,574,71899.69105,6624,3842,367,110249
C,6/23/2018,270,845,184,84130.30457,5275,4290,673,63436
C,6/30/2018,654,138,842,78935.42963,5977,4259,699,119573
C,7/7/2018,920,241,583,69519.82691,4890,3255,414,48108
C,7/14/2018,171,65,156,99008.92199,19996,4469,841,49500
C,7/21/2018,237,90,818,75248.26778,16787,3554,412,66376
C,7/28/2018,694,943,750,78731.84176,11920,3346,662,49643
C,8/4/2018,304,452,542,60774.25676,12207,3260,353,44803
C,8/11/2018,902,524,175,75768.8162,15196,2499,767,50488
C,8/18/2018,336,428,635,88205.36303,24599,3048,975,42106
C,8/25/2018,121,478,657,89008.2925,42002,2996,323,89428
C,9/1/2018,369,515,813,70943.69145,32062,3575,488,47607
C,9/8/2018,791,811,373,74255.57246,38017,2837,265,41392
C,9/15/2018,172,319,234,72378.2845,29787,1676,518,47841
C,9/22/2018,159,592,516,69573.55609,31127,1797,416,66568
C,9/29/2018,927,801,226,61505.32218,28429,1810,170,45527
C,10/6/2018,618,378,511,56325.09614,14671,1469,426,75734
C,10/13/2018,570,106,265,55803.78371,17635,2082,500,99394
C,10/20/2018,254,342,286,55208.45833,15757,1986,405,146290
C,10/27/2018,296,84,450,58656.95952,15579,1351,946,136990
C,11/3/2018,25,1011,39,57435.46153,23392,1330,842,155669
C,11/10/2018,19,295,925,119185.4036,36467,2071,960,131953
C,11/17/2018,999,171,978,116691.9775,50268,1544,714,173164
C,11/24/2018,454,424,799,118449.5544,98923,1331,91,326023
C,12/1/2018,592,42,643,146330.3759,19800,1694,195,191931
C,12/8/2018,1510,1365,133,90858.37377,10586,1718,2581,125515
C,12/15/2018,1600,1127,231,75084.44426,17786,1515,1396,86141
C,12/22/2018,1108,427,552,73797.95897,8293,1412,1147,84202
C,12/29/2018,771,853,224,103358.5802,5565,1648,1385,33790
C,1/5/2019,569,1007,855,103476.635,2602,1628,340,63002
C,1/12/2019,665,665,275,77649.86595,5464,2621,1390,69389
C,1/19/2019,729,993,437,97728.8244,12599,3005,773,47610
C,1/26/2019,1284,499,238,79734.43444,42911,3149,866,167985
C,2/2/2019,710,722,581,76229.44131,34359,3110,1543,41854
C,2/9/2019,1121,949,231,76350.57604,16700,2351,1469,35106
C,2/16/2019,574,568,216,97370.13957,18143,2303,1096,62659
C,2/23/2019,454,522,872,64585.4492,7653,2388,1256,64558
C,3/2/2019,297,811,263,88506.4449,4220,2427,1108,54858
C,3/9/2019,421,642,66,82489.01285,5901,2880,191,41347
C,3/16/2019,614,452,741,75870.86544,11126,4022,635,47707
C,3/23/2019,866,714,923,75397.69528,16565,2750,1045,66589
C,3/30/2019,478,830,187,93016.82035,19364,2890,779,59232
C,4/6/2019,350,1657,696,77700.21059,8610,1637,1509,34730
C,4/13/2019,920,560,28,75003.14544,15336,2450,1516,43451
C,4/20/2019,1003,927,322,82304.70777,20712,1758,1029,55228
C,4/27/2019,108,1007,22,95272.79027,19328,1542,882,74918
C,5/4/2019,886,785,522,67524.86445,12746,1465,1722,33758
C,5/11/2019,728,1206,228,55964.30824,16639,1285,1721,55523
C,5/18/2019,1365,1234,245,65494.53824,25477,1678,1714,41548
C,5/25/2019,905,1122,615,64211.61756,29389,1912,1822,49619
C,6/1/2019,604,1668,979,56351.78843,10077,1591,1980,75292
C,6/8/2019,5302,1907,363,52290.50056,20885,1872,6405,48892
C,6/15/2019,3722,2398,404,56493.01405,23830,2403,4762,54492
C,6/22/2019,1910,1668,795,67571.66647,21123,1729,3180,83883
C,6/29/2019,1776,1729,262,69255.7806,13177,1689,2851,57799
C,7/6/2019,1624,2034,856,64861.95203,12340,1668,2601,41214
C,7/13/2019,1501,2182,178,40894.44732,30255,2555,3976,79453
C,7/20/2019,1342,3604,242,85371.39714,16224,2459,3924,66337
C,7/27/2019,1370,3094,534,54682.40674,21790,1492,4916,36365
C,8/3/2019,3892,3398,263,42547.90503,9916,1723,7497,44757
C,8/10/2019,1568,4680,468,52430.51882,12586,1786,5986,33523
C,8/17/2019,2152,4772,38,57530.31698,18210,1247,5798,33675
C,8/24/2019,1944,3098,806,56591.45647,13257,1679,5160,101378
C,8/31/2019,2557,2314,936,61274.41343,12472,2195,4022,49953
C,9/7/2019,1818,1777,670,76810.83219,29338,1309,3495,54020
C,9/14/2019,1792,1350,390,97889.64589,26071,1838,2772,87712
C,9/21/2019,1775,1793,82,99341.69028,44440,1802,3124,32979
C,9/28/2019,2727,1715,993,58850.6491,131001,1317,3243,44538
C,10/5/2019,1017,1813,321,84986.21544,36408,1055,2503,147739
C,10/12/2019,873,1209,708,89907.41681,41943,1687,1631,75491
C,10/19/2019,658,1717,164,79797.73229,34348,1525,2570,152811
C,10/26/2019,897,1594,149,78711.4141,32935,910,1441,169398
C,11/2/2019,1233,1195,99,72250.27245,35725,2092,2418,134013
C,11/9/2019,1314,1466,751,115660.2647,57087,1441,2149,140189
C,11/16/2019,1406,2369,496,149696.6767,90122,1089,3163,161867
C,11/23/2019,258,2417,685,81005.43061,173786,1062,2151,175180
C,11/30/2019,951,2174,359,149687.8066,100132,1381,2393,271587
C,12/7/2019,1166,2065,652,137369.2796,105250,2027,1761,266295
C,12/14/2019,727,1304,164,82024.7843,103151,1398,2276,115058
C,12/21/2019,572,1512,376,83034.01492,41289,912,2000,90280
C,12/28/2019,435,1633,87,56693.13179,16388,2872,1997,40790
C,1/4/2020,2464,1969,531,65779.89976,13480,1401,3712,59974
C,1/11/2020,374,2064,313,87232.33961,20494,1918,2934,42637
C,1/18/2020,519,2628,376,82298.2642,23327,2292,2767,45616
C,1/25/2020,2220,1917,282,67921.4888,19011,1753,3537,58523
C,2/1/2020,1608,3193,541,212288.8766,6987,3566,4205,53427
C,2/8/2020,2441,2846,317,78122.88615,26527,1139,4765,53023
C,2/15/2020,1500,2552,185,61334.57103,48935,2359,4237,105304
C,2/22/2020,1033,3048,507,88873.80303,46320,2416,3869,80255
C,2/29/2020,1190,2685,517,63599.25383,21514,1529,2896,40508
D,1/6/2018,802,565,204,858341.8388,200836,54641,369,125776
D,1/13/2018,709,164,814,1241944.524,33928,47509,798,111722
D,1/20/2018,408,849,683,1052980.061,113165,65788,150,111894
D,1/27/2018,832,407,815,1024823.637,179016,44347,998,125557
D,2/3/2018,331,119,937,1001984.694,103723,34536,293,114274
D,2/10/2018,936,1000,104,1065942.117,100467,42332,417,118294
D,2/17/2018,138,157,887,1555413.305,251488,42720,679,156648
D,2/24/2018,708,768,875,1361595.927,453,34346,24,158017
D,3/3/2018,836,476,28,1037976.268,37343,38703,642,127988
D,3/10/2018,998,266,334,1157819.831,163395,37326,945,143806
D,3/17/2018,68,725,968,1141788.672,18411,42546,635,160994
D,3/24/2018,960,506,872,1040273.537,137196,51119,82,144183
D,3/31/2018,304,410,753,1048490.75,77802,40574,556,117004
D,4/7/2018,387,543,255053,1027642.764,192143,35135,639,109379
D,4/14/2018,990,203,407894,1244508.523,134657,32690,308,117220
D,4/21/2018,303,822,418282,1010776.702,93386,43480,804,135470
D,4/28/2018,262,393,435186,1161424.398,54943,33272,659,130197
D,5/5/2018,638,50,474947,980266.6182,115062,31450,921,141607
D,5/12/2018,331,515,643659,851710.8663,116313,40769,584,123108
D,5/19/2018,945,683,661836,928631.1815,12042,33652,520,110697
D,5/26/2018,733,937,660996,1121307.458,38306,38603,590,114185
D,6/2/2018,723,859,502641,820117.8341,122908,40488,738,139987
D,6/9/2018,105,18,487378,921520.3465,196622,38217,640,130213
D,6/16/2018,534,521,460266,829765.8323,103295,39109,473,122936
D,6/23/2018,759,491,503138,968493.6908,67708,43960,690,97780
D,6/30/2018,877,398,604168,911767.1668,88225,47018,759,110897
D,7/7/2018,390,289,856134,794705.7787,73490,41311,315,97035
D,7/14/2018,345,308,973269,1136152.837,272035,43675,616,145176
D,7/21/2018,82,684,747404,863718.1156,243397,38449,428,166868
D,7/28/2018,150,765,744080,901985.8005,151282,36772,852,134732
D,8/4/2018,298,627,682007,702279.7684,167236,39189,928,111139
D,8/11/2018,15,997,737496,876082.3184,202409,33537,664,104257
D,8/18/2018,266,247,1103614,1013954.117,355190,35835,193,157241
D,8/25/2018,857,499,1130147,1027552.688,650852,42240,389,175646
D,9/1/2018,847,652,1197354,813179.7064,501241,35994,439,152926
D,9/8/2018,248,978,1076214,853303.8627,623998,33790,63,164669
D,9/15/2018,931,376,1197662,828983.6106,471547,27537,113,181469
D,9/22/2018,172,828,1154985,803494.0265,527626,18640,573,177577
D,9/29/2018,683,54,1341003,709186.2879,489243,22844,637,177897
D,10/6/2018,148,2232,1261496,650615.7831,196398,18910,1686,205461
D,10/13/2018,541,3351,1140593,644750.2714,266161,18873,3769,213474
D,10/20/2018,471,3980,1522548,634636.0059,230851,17635,3707,259573
D,10/27/2018,705,4123,1353272,671268.6013,234290,15845,3886,213627
D,11/3/2018,730,4597,1323949,658202.2886,354215,17393,4285,244378
D,11/10/2018,649,10884,2395590,1366952.708,447808,16230,10572,409673
D,11/17/2018,406,6657,3836090,1342356.034,721009,12355,6279,462177
D,11/24/2018,1810,4521,4122952,1365284.848,1542205,15950,5847,736445
D,12/1/2018,2987,4191,2683625,1688470.135,271990,17572,6116,538954
D,12/8/2018,46810,4308,1304658,1044268.013,126127,17324,51332,402144
D,12/15/2018,39878,7570,969258,867168.6631,234793,11688,47129,415554
D,12/22/2018,18097,9901,835053,845630.4709,121114,14901,26892,220138
D,12/29/2018,18011,7532,866488,1192396.74,69653,21039,24382,126661
D,1/5/2019,11383,7931,777858,1190160.315,27909,23558,18496,148226
D,1/12/2019,18921,6617,745705,892376.35,78787,35668,24293,117706
D,1/19/2019,20651,4903,780876,1120340.493,171685,37945,25656,146320
D,1/26/2019,21856,7050,756032,912092.2741,634739,45187,27648,124347
D,2/2/2019,13486,4719,847581,877215.6777,427700,39295,17440,128054
D,2/9/2019,18003,5955,694754,880639.9426,198647,38000,23460,127327
D,2/16/2019,26539,10227,560664,1124979.87,252450,38486,37272,186962
D,2/23/2019,9991,7021,586831,739202.9652,93629,32565,17121,147821
D,3/2/2019,447,6488,843632,1014866.452,44890,40935,7299,152847
